match_id,date,home,away,prob_home,pred_label,odds_B365H,actual,model_source,snapshot_created_at
1,2024-08-31,Arsenal,Brighton,0.5100826484802966,1,1.33,0,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
9,2024-09-01,Man United,Liverpool,0.6094733155647434,1,3.7,0,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
58,2024-10-20,Liverpool,Chelsea,0.5067046184305697,1,1.62,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
70,2024-11-02,Liverpool,Brighton,0.522627979368676,1,1.4,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
132,2024-12-14,Wolves,Ipswich,0.5293706341796026,1,1.9,0,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
134,2024-12-15,Man City,Man United,0.5240718278622479,1,1.57,0,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
173,2025-01-04,Man City,West Ham,0.5120294815482994,1,1.3,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
185,2025-01-15,Newcastle,Wolves,0.507202253496289,1,1.36,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
186,2025-01-15,Arsenal,Tottenham,0.5542921368213977,1,1.4,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
195,2025-01-19,Everton,Tottenham,0.5085828724291241,1,2.8,1,lightgbm_homewin_20251109T124027Z.pkl,2025-11-09T14:38:56.888708+00:00
