Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,WHH,WHD,WHA,B365H,B365D,B365A,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,Season,Year,Month,DayOfWeek,TotalGoals,GoalsOver2_5,BTTS,Home_2plus,Away_2plus,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeTeam,AwayTeam,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Ipswich,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Newcastle,HomeTeam_Nott'm Forest,HomeTeam_Southampton,HomeTeam_Tottenham,HomeTeam_West Ham,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Ipswich,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Newcastle,AwayTeam_Nott'm Forest,AwayTeam_Southampton,AwayTeam_Tottenham,AwayTeam_West Ham,AwayTeam_Wolves,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,h2h_home_wins_last5,home_league_position,away_league_position,position_diff,HomePts,AwayPts,HomeGoalDiff,AwayGoalDiff,HomeRecentGoalDiff,AwayRecentGoalDiff,RecentGoalDiff,HomeRecentShotsOnTarget,AwayRecentShotsOnTarget,RecentShotsOnTargetDiff,PosDiff,B365>2.5_missing,B365<2.5_missing,B365>2.5_implied_prob,B365<2.5_implied_prob,OddsMargin,OU_OddsMargin,OverUnderRatio,Weekend,EarlySeason,RefereeAggression
2024-08-31,2,3,A,0,0,D,S Attwell,18,17,8,7,8,4,6,1,2,1,0,0,2.75,3.4,2.6,2.75,3.4,2.55,2.78,3.4,2.59,2.85,3.5,2.64,1.92,1.98,1.93,1.96,1.93,2.0,1.87,1.95,2024-25,2024,8,5,5,1,1,1,1,0.0,1.0,Everton,Bournemouth,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,3.0,6.0,1.0,1.0,5.0,0,1,1,0,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.5208333333333334,0.5050505050505051,1.0784313725490198,0.9696969696969697,0.9696969696969697,1,0,0.0
2024-08-31,1,1,D,1,0,H,C Kavanagh,11,22,7,4,3,7,12,7,3,2,1,0,1.33,5.5,8.5,1.33,5.5,8.5,1.35,5.66,8.11,1.37,6.0,9.0,1.53,2.5,1.54,2.59,1.57,2.59,1.53,2.52,2024-25,2024,8,5,2,0,1,0,0,2.0,3.0,Arsenal,Brighton,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,0.0,6.0,3.0,0.0,5.0,0,3,3,0,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.6535947712418301,0.4,0.15647058823529414,0.612,0.612,1,0,0.0
2024-08-31,3,1,H,1,0,H,J Smith,20,18,7,6,2,8,10,7,2,1,0,0,1.75,3.9,4.6,1.75,3.9,4.33,1.77,3.97,4.46,1.82,4.12,4.7,1.73,2.1,1.74,2.18,1.76,2.21,1.73,2.15,2024-25,2024,8,5,4,1,1,1,0,2.0,0.0,Brentford,Southampton,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2.0,1.0,6.0,0.0,1.0,5.0,0,5,5,0,3,0,2,-2,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.5780346820809249,0.47619047619047616,0.40415704387990764,0.8238095238095238,0.8238095238095238,1,0,0.0
2024-08-31,1,1,D,1,1,D,L Smith,11,9,4,4,8,6,15,15,2,3,0,0,3.1,3.5,2.3,3.0,3.5,2.3,3.1,3.5,2.31,3.2,3.66,2.38,1.84,2.06,1.83,2.06,1.88,2.07,1.82,2.03,2024-25,2024,8,5,2,0,1,0,0,0.0,0.0,Ipswich,Fulham,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,6.0,0.0,1.0,5.0,0,7,7,0,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.5434782608695652,0.4854368932038835,1.3043478260869565,0.8932038834951457,0.8932038834951457,1,0,0.0
2024-08-31,1,1,D,1,1,D,S Hooper,16,11,5,3,7,3,15,18,3,4,0,0,2.05,3.6,3.6,2.0,3.7,3.7,2.03,3.66,3.65,2.1,3.76,3.79,1.85,2.05,1.85,2.04,1.86,2.09,1.83,2.02,2024-25,2024,8,5,2,0,1,0,0,1.0,0.0,Nott'm Forest,Wolves,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,1.0,6.0,0.0,2.0,5.0,0,9,9,0,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.5405405405405405,0.48780487804878053,0.5405405405405405,0.902439024390244,0.902439024390244,1,0,0.0
2024-08-31,1,3,A,1,2,A,M Oliver,10,23,2,8,3,11,10,3,3,2,0,0,8.0,5.0,1.4,7.0,5.5,1.38,7.57,5.49,1.38,8.0,5.8,1.41,1.44,2.75,1.49,2.72,1.5,2.8,1.46,2.73,2024-25,2024,8,5,4,1,1,0,1,1.0,2.0,West Ham,Man City,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,2.0,6.0,2.0,0.0,5.0,0,11,11,0,0,3,-2,2,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.6944444444444444,0.36363636363636365,5.072463768115942,0.5236363636363636,0.5236363636363636,1,0,0.0
2024-08-31,1,2,A,0,1,A,D Coote,9,10,3,5,1,4,13,21,4,5,0,0,4.6,3.9,1.75,4.5,4.0,1.7,4.62,4.02,1.74,4.9,4.2,1.78,1.67,2.2,1.68,2.27,1.76,2.3,1.69,2.21,2024-25,2024,8,5,3,1,1,0,1,1.0,2.0,Leicester,Aston Villa,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,6.0,2.0,1.0,5.0,0,13,13,0,0,3,-1,1,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.5988023952095809,0.45454545454545453,2.6470588235294117,0.759090909090909,0.759090909090909,1,0,0.0
2024-09-01,1,1,D,1,0,H,J Gillett,13,9,7,3,4,5,9,13,4,2,0,0,1.65,4.33,5.0,1.6,4.33,5.0,1.63,4.4,5.01,1.68,4.55,5.2,1.5,2.63,1.53,2.61,1.55,2.63,1.52,2.56,2024-25,2024,9,6,2,0,1,0,0,0.0,1.0,Chelsea,Crystal Palace,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,6.0,1.0,2.0,5.0,0,15,15,0,1,1,0,0,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.6666666666666666,0.3802281368821293,0.32,0.5703422053231939,0.5703422053231939,1,0,0.0
2024-09-01,2,1,H,1,0,H,R Jones,9,20,3,6,7,12,16,13,4,4,0,0,2.5,4.0,2.5,2.5,4.0,2.5,2.51,3.97,2.56,2.56,4.12,2.63,1.36,3.2,1.41,3.04,1.41,3.22,1.38,3.07,2024-25,2024,9,6,3,1,1,1,0,1.0,1.0,Newcastle,Tottenham,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0.0,6.0,1.0,1.0,5.0,0,17,17,0,3,0,1,-1,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.7352941176470588,0.3125,1.0,0.425,0.425,1,0,0.0
2024-09-01,0,3,A,0,2,A,A Taylor,8,11,3,3,5,2,7,7,4,1,0,0,3.8,4.2,1.85,3.7,4.2,1.85,3.82,4.2,1.85,4.0,4.4,1.9,1.44,2.75,1.44,2.89,1.45,3.02,1.43,2.84,2024-25,2024,9,6,3,1,0,0,1,1.0,2.0,Man United,Liverpool,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,0.0,6.0,2.0,0.0,5.0,0,19,19,0,0,3,-3,3,0.0,-1.0,0.0,22.0,18.0,3.0,0,0,0,0.6944444444444444,0.36363636363636365,2.0,0.5236363636363636,0.5236363636363636,1,0,0.0
