FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,IWH,IWD,IWA,WHH,WHD,WHA,B365H,B365D,B365A,B365>2.5,B365<2.5,Date,Season,Year,Month,DayOfWeek,TotalGoals,GoalsOver2_5,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeTeam,AwayTeam,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves,has_ou_odds,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,B365>2.5_missing,B365<2.5_missing,h2h_home_wins_last5,home_league_position,away_league_position,position_diff,HomePts,AwayPts,HomeGoalDiff,AwayGoalDiff,HomeRecentGoalDiff,AwayRecentGoalDiff,RecentGoalDiff,HomeRecentShotsOnTarget,AwayRecentShotsOnTarget,RecentShotsOnTargetDiff,PosDiff,B365>2.5_implied_prob,B365<2.5_implied_prob,OddsMargin,OU_OddsMargin,OverUnderRatio,Weekend,RefereeAggression,EarlySeason
5.0,2.0,H,3.0,0.0,H,P Durkin,10.0,8.0,8.0,6.0,1.0,1.0,9.0,9.0,3.0,2.0,0.0,0.0,1.2,5.0,10.0,1.16,5.5,12.0,1.17,5.5,13.0,1.9,1.91,2002-08-27,2002-03,2002,8,1,7.0,1,2.1209068010075565,0.8734693877551021,Arsenal,West Brom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0,8.0,0.0,1.0,5.0,1,1,0,1,1,0,3,0,3.0,-3.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,0.09,0.9947643979057592,0.9947643979057592,0,0.0,0
0.0,1.0,A,0.0,1.0,A,A Wiley,10.0,7.0,5.0,1.0,6.0,9.0,9.0,23.0,1.0,2.0,0.0,0.0,2.3,3.0,2.7,2.5,3.1,2.5,2.4,3.2,2.6,1.9,1.91,2002-08-27,2002-03,2002,8,1,1.0,0,1.3370786516853932,1.449748743718593,Charlton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,3.0,8.0,2.0,2.0,5.0,1,1,0,3,3,0,0,3,-1.0,1.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,0.923076923076923,0.9947643979057592,0.9947643979057592,0,0.0,0
1.0,1.0,D,0.0,0.0,D,E Wolstenholme,11.0,5.0,4.0,2.0,7.0,4.0,18.0,12.0,0.0,3.0,1.0,0.0,1.6,3.4,4.6,1.66,3.3,4.5,1.67,3.4,4.5,1.9,1.91,2002-08-28,2002-03,2002,8,2,2.0,0,1.5375,0.8360655737704918,Everton,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,8.0,0.0,2.0,5.0,1,1,0,5,5,0,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,0.3711111111111111,0.9947643979057592,0.9947643979057592,0,0.0,0
0.0,1.0,A,0.0,0.0,D,M Halsey,20.0,9.0,9.0,4.0,8.0,1.0,13.0,11.0,2.0,0.0,0.0,0.0,1.4,3.9,6.0,1.36,3.75,8.0,1.5,3.4,6.5,1.9,1.91,2002-08-28,2002-03,2002,8,2,1.0,0,1.2608695652173914,0.8642533936651584,Leeds,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,8.0,0.0,0.0,5.0,1,1,0,7,7,0,0,3,-1.0,1.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,0.2307692307692307,0.9947643979057592,0.9947643979057592,0,0.0,0
1.0,1.0,D,0.0,0.0,D,C Foy,12.0,10.0,4.0,3.0,5.0,6.0,16.0,11.0,2.0,1.0,0.0,0.0,3.2,3.1,2.0,3.2,3.2,2.0,3.0,3.25,2.1,1.9,1.91,2002-08-28,2002-03,2002,8,2,2.0,0,1.3740458015267176,1.605527638190955,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,3.0,2.0,5.0,1,1,0,9,9,0,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,1.4285714285714286,0.9947643979057592,0.9947643979057592,0,0.0,0
2.0,2.0,D,1.0,1.0,D,S Bennett,7.0,5.0,4.0,3.0,5.0,2.0,17.0,10.0,3.0,1.0,0.0,0.0,2.8,2.9,2.3,3.0,3.2,2.1,3.0,3.25,2.1,1.9,1.91,2002-08-28,2002-03,2002,8,2,4.0,1,1.3555555555555556,1.598503740648379,Blackburn,Liverpool,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,1.0,0.0,5.0,1,1,0,11,11,0,1,1,0.0,0.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,1.4285714285714286,0.9947643979057592,0.9947643979057592,0,0.0,0
1.0,0.0,H,0.0,0.0,D,D Pugh,11.0,7.0,6.0,1.0,5.0,4.0,13.0,11.0,1.0,3.0,0.0,0.0,2.1,3.0,3.1,2.2,3.2,2.8,2.2,3.25,2.8,1.9,1.91,2002-08-28,2002-03,2002,8,2,1.0,0,1.3343108504398826,1.645,Aston Villa,Man City,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,8.0,0.0,3.0,5.0,1,1,0,13,13,0,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,0,0.5263157894736842,0.5235602094240838,0.7857142857142858,0.9947643979057592,0.9947643979057592,0,0.0,0
0.0,2.0,A,0.0,2.0,A,J Winter,9.0,5.0,4.0,3.0,8.0,6.0,11.0,15.0,3.0,1.0,0.0,0.0,1.7,3.2,4.2,1.72,3.2,4.33,1.727,3.5,4.0,1.9,1.91,2002-08-31,2002-03,2002,8,5,2.0,0,1.4450867052023122,0.9456521739130436,West Ham,Charlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,8.0,2.0,2.0,5.0,1,1,0,15,11,4,0,3,-2.0,2.0,2.0,-2.0,3.0,28.0,22.0,6.0,4,0.5263157894736842,0.5235602094240838,0.43175,0.9947643979057592,0.9947643979057592,1,0.0,0
1.0,0.0,H,0.0,0.0,D,R Styles,8.0,6.0,5.0,1.0,5.0,7.0,17.0,16.0,4.0,3.0,0.0,0.0,2.7,3.0,2.3,2.87,3.1,2.2,2.625,3.2,2.375,1.9,1.91,2002-08-31,2002-03,2002,8,5,1.0,0,1.1934156378600822,0.9014084507042254,West Brom,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.0,8.0,4.0,1.0,5.0,1,1,0,15,16,-1,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,-1,0.5263157894736842,0.5235602094240838,1.105263157894737,0.9947643979057592,0.9947643979057592,1,0.0,0
1.0,0.0,H,0.0,0.0,D,M Halsey,7.0,10.0,3.0,7.0,8.0,6.0,19.0,16.0,3.0,3.0,0.0,0.0,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.25,2.8,1.9,1.91,2002-08-31,2002-03,2002,8,5,1.0,0,1.3541666666666667,1.0614525139664803,Middlesbrough,Blackburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,0.5,0.0,5.0,1,1,0,17,7,10,3,0,1.0,-1.0,2.0,-2.0,3.0,28.0,22.0,6.0,10,0.5263157894736842,0.5235602094240838,0.7857142857142858,0.9947643979057592,0.9947643979057592,1,1.0,0
