Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,IWH,IWD,IWA,WHH,WHD,WHA,B365H,B365D,B365A,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,GB>2.5,GB<2.5,B365>2.5,B365<2.5,Time,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,Attendance,HHW,AHW,HO,AO
E0,19/08/06,Arsenal,Aston Villa,1.0,1.0,D,0.0,0.0,D,G Poll,19.0,5.0,11.0,3.0,18.0,1.0,10.0,19.0,1.0,2.0,0.0,0.0,1.3,4.4,8.5,1.28,4.5,8.0,1.28,4.5,13.0,39.0,1.83,1.75,2.12,2.01,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Bolton,Tottenham,2.0,0.0,H,2.0,0.0,H,P Dowd,8.0,9.0,6.0,6.0,6.0,3.0,19.0,22.0,0.0,1.0,0.0,0.0,2.5,3.1,2.6,2.6,3.1,2.4,2.62,3.2,2.6,39.0,2.3,2.17,1.75,1.63,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Everton,Watford,2.0,1.0,H,1.0,0.0,H,P Walton,6.0,12.0,2.0,8.0,0.0,6.0,12.0,13.0,2.0,2.0,0.0,0.0,1.7,3.4,4.3,1.57,3.3,5.5,1.66,3.4,5.5,39.0,2.2,2.07,1.76,1.69,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Newcastle,Wigan,2.0,1.0,H,1.0,0.0,H,M Atkinson,9.0,14.0,8.0,9.0,4.0,11.0,17.0,20.0,1.0,2.0,0.0,0.0,1.7,3.4,4.3,1.72,3.2,4.33,1.72,3.5,4.75,39.0,2.25,2.12,1.75,1.66,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Portsmouth,Blackburn,3.0,0.0,H,1.0,0.0,H,A Wiley,21.0,9.0,16.0,7.0,6.0,2.0,20.0,17.0,2.0,1.0,0.0,2.0,2.5,3.1,2.6,2.2,3.1,2.87,2.3,3.1,3.1,39.0,2.26,2.15,1.69,1.64,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Reading,Middlesbrough,3.0,2.0,H,2.0,2.0,D,M Halsey,14.0,7.0,9.0,5.0,8.0,2.0,8.0,15.0,1.0,3.0,0.0,0.0,2.5,3.1,2.6,2.25,3.1,2.8,2.5,3.1,2.8,39.0,2.25,2.14,1.72,1.65,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,Sheffield United,Liverpool,1.0,1.0,D,0.0,0.0,D,R Styles,5.0,12.0,3.0,7.0,0.0,12.0,10.0,16.0,1.0,2.0,0.0,0.0,4.8,3.6,1.6,5.5,3.5,1.53,6.0,3.8,1.53,38.0,2.21,2.06,1.77,1.69,,,,,,,,,,,,,,,,,,,,,,
E0,19/08/06,West Ham,Charlton,3.0,1.0,H,0.0,1.0,A,H Webb,16.0,4.0,5.0,2.0,6.0,0.0,14.0,14.0,2.0,2.0,0.0,1.0,2.0,3.2,3.3,1.9,3.1,3.6,2.0,3.2,3.75,39.0,2.25,2.1,1.78,1.68,,,,,,,,,,,,,,,,,,,,,,
E0,20/08/06,Chelsea,Man City,3.0,0.0,H,2.0,0.0,H,S Bennett,10.0,5.0,4.0,2.0,5.0,2.0,7.0,15.0,1.0,3.0,0.0,1.0,1.25,4.8,9.5,1.2,5.0,11.0,1.22,5.5,13.0,37.0,1.84,1.76,2.1,1.97,,,,,,,,,,,,,,,,,,,,,,
E0,20/08/06,Man United,Fulham,5.0,1.0,H,4.0,1.0,H,A Marriner,15.0,12.0,7.0,8.0,5.0,2.0,14.0,20.0,1.0,1.0,0.0,0.0,1.3,4.4,8.5,1.22,5.0,9.5,1.22,5.5,13.0,38.0,1.83,1.73,2.15,2.0,,,,,,,,,,,,,,,,,,,,,,
