threshold,n_bets,total_pnl,avg_edge
0.3,201,-22.92,-0.04069913826343148
0.31,201,-22.92,-0.04069913826343148
0.32,201,-22.92,-0.04069913826343148
0.32999999999999996,201,-22.92,-0.04069913826343148
0.33999999999999997,137,-4.210000000000001,0.00033786012443696566
0.35,137,-4.210000000000001,0.00033786012443696566
0.36,137,-4.210000000000001,0.00033786012443696566
0.37,137,-4.210000000000001,0.00033786012443696566
0.38,137,-4.210000000000001,0.00033786012443696566
0.39,137,-4.210000000000001,0.00033786012443696566
0.4,137,-4.210000000000001,0.00033786012443696566
0.41,137,-4.210000000000001,0.00033786012443696566
0.42,137,-4.210000000000001,0.00033786012443696566
0.43,137,-4.210000000000001,0.00033786012443696566
0.44,137,-4.210000000000001,0.00033786012443696566
0.44999999999999996,137,-4.210000000000001,0.00033786012443696566
0.45999999999999996,111,0.7799999999999996,0.019601920144556143
0.47,111,0.7799999999999996,0.019601920144556143
0.48,111,0.7799999999999996,0.019601920144556143
0.49,111,0.7799999999999996,0.019601920144556143
0.5,111,0.7799999999999996,0.019601920144556143
0.51,111,0.7799999999999996,0.019601920144556143
0.52,110,0.6299999999999992,0.022969529478113215
0.53,110,0.6299999999999992,0.022969529478113215
0.54,110,0.6299999999999992,0.022969529478113215
0.55,110,0.6299999999999992,0.022969529478113215
0.56,0,,
0.5700000000000001,0,,
0.5800000000000001,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.6599999999999999,0,,
0.6699999999999999,0,,
0.6799999999999999,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
