threshold,n_bets,wins,win_rate,total_pnl,roi,avg_edge
0.3,129,65.0,0.5038759689922481,-2.1900000000000035,-0.016976744186046538,-0.14124692576951006
0.31,120,60.0,0.5,-5.1400000000000015,-0.04283333333333335,-0.1392968697884505
0.32,111,58.0,0.5225225225225225,0.7799999999999987,0.007027027027027015,-0.13196177449666766
0.32999999999999996,97,46.0,0.4742268041237113,-9.879999999999999,-0.10185567010309278,-0.12442416102030626
0.33999999999999997,91,44.0,0.4835164835164835,-8.180000000000001,-0.08989010989010991,-0.12127428731575961
0.35,86,41.0,0.47674418604651164,-8.93,-0.10383720930232558,-0.12093348199116324
0.36,77,33.0,0.42857142857142855,-19.2,-0.24935064935064935,-0.1210692198225879
0.37,73,32.0,0.4383561643835616,-17.11,-0.23438356164383561,-0.1165929505711435
0.38,63,26.0,0.4126984126984127,-18.779999999999998,-0.2980952380952381,-0.1081997612437509
0.39,58,26.0,0.4482758620689655,-13.780000000000001,-0.23758620689655174,-0.09719846003494358
0.4,51,22.0,0.43137254901960786,-13.85,-0.27156862745098037,-0.08614017252083805
0.41,43,17.0,0.3953488372093023,-13.3,-0.30930232558139537,-0.06681543532522968
0.42,38,14.0,0.3684210526315789,-13.23,-0.3481578947368421,-0.052775601872972824
0.43,35,13.0,0.37142857142857144,-12.23,-0.3494285714285714,-0.04922050236108759
0.44,32,12.0,0.375,-10.65,-0.3328125,-0.042631285636447365
0.44999999999999996,27,11.0,0.4074074074074074,-8.65,-0.32037037037037036,-0.04691612206394967
0.45999999999999996,23,10.0,0.43478260869565216,-6.15,-0.2673913043478261,-0.07141015232748903
0.47,20,9.0,0.45,-5.1000000000000005,-0.255,-0.058193420157429385
0.48,20,9.0,0.45,-5.1000000000000005,-0.255,-0.058193420157429385
0.49,15,8.0,0.5333333333333333,-1.5400000000000003,-0.10266666666666668,-0.058193917218985036
0.5,14,7.0,0.5,-2.0700000000000003,-0.14785714285714288,-0.050725203291785405
0.51,10,4.0,0.4,-3.8500000000000005,-0.38500000000000006,-0.0372869507827991
0.52,8,3.0,0.375,-3.1500000000000004,-0.39375000000000004,0.015766103827787793
0.53,3,1.0,0.3333333333333333,-1.6,-0.5333333333333333,0.040574400560844326
0.54,3,1.0,0.3333333333333333,-1.6,-0.5333333333333333,0.040574400560844326
0.55,2,1.0,0.5,-0.6000000000000001,-0.30000000000000004,0.08960473391507826
0.56,1,0.0,0.0,-1.0,-1.0,0.33920304529447315
0.5700000000000001,1,0.0,0.0,-1.0,-1.0,0.33920304529447315
0.5800000000000001,1,0.0,0.0,-1.0,-1.0,0.33920304529447315
0.59,1,0.0,0.0,-1.0,-1.0,0.33920304529447315
0.6,1,0.0,0.0,-1.0,-1.0,0.33920304529447315
0.61,0,,,,,
0.62,0,,,,,
0.63,0,,,,,
0.64,0,,,,,
0.65,0,,,,,
0.6599999999999999,0,,,,,
0.6699999999999999,0,,,,,
0.6799999999999999,0,,,,,
0.69,0,,,,,
0.7,0,,,,,
0.71,0,,,,,
0.72,0,,,,,
0.73,0,,,,,
0.74,0,,,,,
0.75,0,,,,,
0.76,0,,,,,
0.77,0,,,,,
0.78,0,,,,,
0.79,0,,,,,
0.8,0,,,,,
