threshold,n_bets,total_pnl,avg_edge
0.3,269,-51.92999999999999,-0.07506478142529904
0.31,269,-51.92999999999999,-0.07506478142529904
0.32,262,-44.93,-0.08162192445982208
0.32999999999999996,254,-48.93,-0.08905113718387865
0.33999999999999997,244,-46.63,-0.09488119024344399
0.35,229,-34.43,-0.10220016979843173
0.36,209,-28.47,-0.10227374067621293
0.37,188,-21.490000000000002,-0.1075063608525324
0.38,157,-8.599999999999998,-0.10881164493687716
0.39,129,-2.190000000000003,-0.11087539387092947
0.4,98,-9.129999999999999,-0.11077445940058352
0.41,78,-16.099999999999998,-0.11500115745965661
0.42,59,-14.78,-0.11017275588227998
0.43,40,-12.400000000000002,-0.08990927019731002
0.44,32,-10.65,-0.07611321363447635
0.44999999999999996,20,-5.1000000000000005,-0.10631369981512384
0.45999999999999996,14,-2.0700000000000003,-0.1070028531295305
0.47,5,-1.5500000000000003,-0.0393637487839386
0.48,2,-0.6000000000000001,-0.001502975930211009
0.49,1,-1.0,0.2305677213451281
0.5,1,-1.0,0.2305677213451281
0.51,0,,
0.52,0,,
0.53,0,,
0.54,0,,
0.55,0,,
0.56,0,,
0.5700000000000001,0,,
0.5800000000000001,0,,
0.59,0,,
0.6,0,,
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.6599999999999999,0,,
0.6699999999999999,0,,
0.6799999999999999,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
