threshold,n_bets,total_pnl,avg_edge
0.3,129,-2.190000000000003,-0.14124692576951006
0.31,120,-5.140000000000004,-0.1392968697884505
0.32,111,0.7799999999999996,-0.13196177449666763
0.32999999999999996,97,-9.88,-0.12442416102030626
0.33999999999999997,91,-8.18,-0.12127428731575961
0.35,86,-8.93,-0.12093348199116324
0.36,77,-19.2,-0.1210692198225879
0.37,73,-17.11,-0.11659295057114352
0.38,63,-18.78,-0.10819976124375089
0.39,58,-13.78,-0.09719846003494358
0.4,51,-13.849999999999998,-0.08614017252083805
0.41,43,-13.299999999999999,-0.06681543532522968
0.42,38,-13.23,-0.052775601872972824
0.43,35,-12.23,-0.04922050236108759
0.44,32,-10.65,-0.042631285636447365
0.44999999999999996,27,-8.65,-0.04691612206394967
0.45999999999999996,23,-6.15,-0.07141015232748903
0.47,20,-5.1000000000000005,-0.058193420157429385
0.48,20,-5.1000000000000005,-0.058193420157429385
0.49,15,-1.5400000000000003,-0.058193917218985036
0.5,14,-2.0700000000000003,-0.050725203291785405
0.51,10,-3.8500000000000005,-0.0372869507827991
0.52,8,-3.1500000000000004,0.015766103827787793
0.53,3,-1.6,0.040574400560844326
0.54,3,-1.6,0.040574400560844326
0.55,2,-0.6000000000000001,0.08960473391507826
0.56,1,-1.0,0.33920304529447315
0.5700000000000001,1,-1.0,0.33920304529447315
0.5800000000000001,1,-1.0,0.33920304529447315
0.59,1,-1.0,0.33920304529447315
0.6,1,-1.0,0.33920304529447315
0.61,0,,
0.62,0,,
0.63,0,,
0.64,0,,
0.65,0,,
0.6599999999999999,0,,
0.6699999999999999,0,,
0.6799999999999999,0,,
0.69,0,,
0.7,0,,
0.71,0,,
0.72,0,,
0.73,0,,
0.74,0,,
0.75,0,,
0.76,0,,
0.77,0,,
0.78,0,,
0.79,0,,
0.8,0,,
