HomeTeam,AwayTeam,Date,Year,Month,DayOfWeek,Div,Time,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,1XBH,1XBD,1XBA,B365H,B365D,B365A,B365>2.5,B365<2.5,B365AHH,B365AHA,B365AH,BFH,BFD,BFA,BFEH,BFED,BFEA,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,VCH,VCD,VCA,BSH,BSD,BSA,BWH,BWD,BWA,CLH,CLD,CLA,GBH,GBD,GBA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,IWH,IWD,IWA,LBH,LBD,LBA,LBAHH,LBAHA,LBAH,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,WHH,WHD,WHA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,MaxAHH,MaxAHA,AvgAHH,AvgAHA,AHh,HomeWin,Season,HomeTeam_mean_FTHG,AwayTeam_mean_FTAG,HomeRecentGF,HomeRecentGA,HomeRecentPts,AwayRecentGF,AwayRecentGA,AwayRecentPts,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Bradford,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Coventry,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Ipswich,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Bradford,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Coventry,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Ipswich,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves,Kickoff,B365_gt_2_5,B365_lt_2_5,GB_gt_2_5,GB_lt_2_5,P_gt_2_5,P_lt_2_5,BbMx_gt_2_5,BbAv_gt_2_5,BbMx_lt_2_5,BbAv_lt_2_5,Max_gt_2_5,Max_lt_2_5,Avg_gt_2_5,Avg_lt_2_5,HomeTeam_Aston_Villa,HomeTeam_Crystal_Palace,HomeTeam_Man_City,HomeTeam_Man_United,HomeTeam_Nott_m_Forest,HomeTeam_Sheffield_United,HomeTeam_West_Brom,HomeTeam_West_Ham,AwayTeam_Aston_Villa,AwayTeam_Crystal_Palace,AwayTeam_Man_City,AwayTeam_Man_United,AwayTeam_Nott_m_Forest,AwayTeam_Sheffield_United,AwayTeam_West_Brom,AwayTeam_West_Ham,date,home_team,away_team
Brentford,Fulham,2026-04-18 12:30:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,3.8,3.4,2.14,3.76,3.34,1.83,2.14,,,,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,,3.8,3.4,,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,1.83,2.14,,,,2.19,3.8,3.4,2.1,3.5,3.3,,,,2.14,3.76,3.34,1.83,2.14,,,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,2.19,3.8,3.4,2.1,3.5,3.1,,2.19,2.19,3.8,3.8,3.4,3.4,,1.83,1.83,2.14,2.14,,,,,,,2.19,3.8,3.4,2.19,3.8,3.4,1.83,2.14,1.83,2.14,,,,,,,,1.6666666666666667,0.9457142857142856,1.2,1.4,5.0,1.0,1.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18,brentford,fulham
Leeds,Wolves,2026-04-18 15:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4109589041095891,0.9592760180995475,0.6,1.4,4.0,0.6,1.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18,leeds,wolves
Newcastle,Bournemouth,2026-04-18 15:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5672645739910314,1.2469879518072289,1.4,2.2,3.0,1.0,0.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18,newcastle,bournemouth
Tottenham,Brighton,2026-04-18 17:30:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8041237113402064,1.1987951807228916,1.0,2.8,1.0,1.0,0.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18,tottenham,brighton
Chelsea,Man United,2026-04-18 20:00:00,2026,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.033126293995859,1.5942028985507246,1.6,1.2,8.0,1.6,1.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18,chelsea,man united
Aston Villa,Sunderland,2026-04-19 14:00:00,2026,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,3.94,5.58,1.7,3.79,5.4,1.96,1.93,,,,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,,3.94,5.58,,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.96,1.93,,,,1.72,3.94,5.58,1.65,3.8,5.0,,,,1.7,3.79,5.4,1.96,1.93,,,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.72,3.94,5.58,1.65,3.7,5.0,,1.72,1.72,3.94,3.94,5.58,5.58,,1.96,1.96,1.93,1.93,,,,,,,1.72,3.94,5.58,1.72,3.94,5.58,1.96,1.93,1.96,1.93,,,,,,,,1.3723653395784543,0.8571428571428571,1.0,1.2,7.0,1.0,1.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19,aston villa,sunderland
Everton,Liverpool,2026-04-19 14:00:00,2026,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,3.46,2.34,3.29,3.36,2.31,1.94,1.94,,,,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,,3.46,2.34,,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,1.94,1.94,,,,3.35,3.46,2.34,3.1,3.3,2.25,,,,3.29,3.36,2.31,1.94,1.94,,,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,3.35,3.46,2.34,3.1,3.25,2.2,,3.35,3.35,3.46,3.46,2.34,2.34,,1.94,1.94,1.94,1.94,,,,,,,3.35,3.46,2.34,3.35,3.46,2.34,1.94,1.94,1.94,1.94,,,,,,,,1.5051546391752575,1.6440329218106997,1.4,0.8,7.0,1.2,1.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19,everton,liverpool
Nott'm Forest,Burnley,2026-04-19 14:00:00,2026,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.295774647887324,0.9623655913978496,0.2,0.4,4.0,1.0,2.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19,nott'm forest,burnley
Man City,Arsenal,2026-04-19 16:30:00,2026,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1900647948164145,1.6556701030927834,2.0,0.8,11.0,2.4,0.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19,man city,arsenal
Crystal Palace,West Ham,2026-04-20 20:00:00,2026,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1867704280155642,1.0928074245939676,0.8,1.2,5.0,1.4,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20,crystal palace,west ham
